_id,id,stat,data.x,data.y,data.color
5fc2323a9b4fbb2f907716ba,63,true,28,0,#f4d6ff
5fc232429b4fbb2f907716bb,64,true,28,0,#f4d6ff
5fc2324a9b4fbb2f907716bc,65,true,29,0,#f4d6ff
5fc2325b9b4fbb2f907716bd,66,true,29,0,#000000
5fc232679b4fbb2f907716be,67,true,29,0,#dab4ee
5fc232719b4fbb2f907716bf,68,true,29,0,#e5c7f5
5fc2327b9b4fbb2f907716c0,69,true,30,0,#e5c7f5
5fc232879b4fbb2f907716c1,70,true,31,0,#e5c7f5
5fc233079b4fbb2f907716c2,71,true,32,0,#eac5f7
5fc233149b4fbb2f907716c3,72,true,33,0,#eac5f7
5fc2333e9b4fbb2f907716c4,73,true,34,0,#a862c3
5fc2334c9b4fbb2f907716c5,74,true,35,0,#e6b1fb
5fc233539b4fbb2f907716c6,75,true,36,0,#e6b1fb
5fc233699b4fbb2f907716c7,76,true,37,0,#f1ccff
5fc233729b4fbb2f907716c8,77,true,38,0,#f3d8fd
5fc233789b4fbb2f907716c9,78,true,39,0,#f3d8fd
5fc2338f9b4fbb2f907716ca,79,true,40,0,#a862c3
5fc233959b4fbb2f907716cb,80,true,41,0,#a862c3
5fc233a29b4fbb2f907716cc,81,true,44,0,#a862c3
5fc233ad9b4fbb2f907716cd,82,true,42,0,#edcbfb
5fc233b39b4fbb2f907716ce,83,true,43,0,#edcbfb
5fc233bb9b4fbb2f907716cf,84,true,45,0,#f8e5ff
5fc233c79b4fbb2f907716d0,85,true,46,0,#f8e5ff
5fc233ce9b4fbb2f907716d1,86,true,47,0,#f8e5ff
5fc2341b9b4fbb2f907716d2,87,true,0,1,#f8e5ff
5fc234229b4fbb2f907716d3,88,true,1,1,#f8e5ff
5fc234279b4fbb2f907716d4,89,true,2,1,#f8e5ff
5fc234349b4fbb2f907716d5,90,true,3,1,#f5dbff
5fc2343b9b4fbb2f907716d6,91,true,5,1,#f5dbff
5fc234429b4fbb2f907716d7,92,true,4,1,#f5dbff
5fc234579b4fbb2f907716d8,93,true,5,1,#a862c3
5fc234629b4fbb2f907716d9,94,true,6,1,#f2dafb
5fc2346c9b4fbb2f907716da,95,true,7,1,#efd0fb
5fc234809b4fbb2f907716db,96,true,8,1,#a862c3
5fc2348d9b4fbb2f907716dc,97,true,9,1,#e9c5f7
5fc234939b4fbb2f907716dd,98,true,10,1,#e9c5f7
5fc234999b4fbb2f907716de,99,true,11,1,#e9c5f7
5fc2349f9b4fbb2f907716df,100,true,12,1,#e9c5f7
5fc234a59b4fbb2f907716e0,101,true,13,1,#e9c5f7
5fc234ab9b4fbb2f907716e1,102,true,14,1,#e9c5f7
